"hotel";"can";"lt";"arr_m";"arr_wn";"s_wend_n";"s_wday_n";"adults";"children";"babies";"meal";"country";"d_wl";"adr";"res_s";"arr"
"Resort Hotel";"0";37;"August";"35";2;3;2;1;0;"BB";"PRT";0;143.34;"Check-Out";2015-08-23
"City Hotel";"1";121;"August";"32";2;5;2;0;0;"BB";"BEL";0;112.5;"Canceled";2017-08-10
"City Hotel";"1";50;"August";"35";0;4;2;0;0;"BB";"PRT";0;62;"Canceled";2015-08-25
"City Hotel";"0";76;"May";"21";0;2;1;0;0;"BB";"GBR";12;130;"Check-Out";2016-05-17
"City Hotel";"1";73;"April";"17";2;2;1;0;0;"BB";"PRT";0;117;"Canceled";2017-04-23
"Resort Hotel";"0";26;"August";"34";1;5;2;0;0;"BB";"IRL";0;230;"Check-Out";2017-08-21
"City Hotel";"0";394;"May";"20";0;4;2;0;0;"BB";"AUS";0;107;"Check-Out";2017-05-16
"City Hotel";"0";14;"September";"39";2;1;1;0;0;"SC";"AUT";0;200;"Check-Out";2015-09-26
"City Hotel";"1";47;"October";"44";2;4;2;1;0;"HB";"PRT";0;159.75;"Canceled";2015-10-25
"City Hotel";"0";8;"September";"37";0;4;2;0;0;"BB";"DEU";0;54.75;"Check-Out";2015-09-09
"City Hotel";"1";99;"February";"8";0;1;2;0;0;"BB";"PRT";0;80;"Canceled";2016-02-19
"City Hotel";"0";101;"July";"32";2;1;3;0;0;"BB";"DEU";0;140.7;"Check-Out";2016-07-31
"City Hotel";"1";16;"December";"49";0;1;2;0;0;"HB";"PRT";0;159;"Canceled";2016-12-03
"Resort Hotel";"0";69;"November";"47";0;4;2;0;0;"BB";"PRT";0;29.16;"Check-Out";2015-11-17
"Resort Hotel";"0";14;"March";"11";0;1;3;1;0;"BB";"FRA";0;115;"Check-Out";2017-03-16
"City Hotel";"0";87;"October";"44";2;1;2;0;0;"HB";"ESP";0;106.25;"Check-Out";2016-10-23
"City Hotel";"1";309;"May";"20";1;2;2;0;0;"HB";"PRT";215;101;"Canceled";2016-05-13
"City Hotel";"0";69;"April";"13";1;1;2;0;0;"SC";"IRL";0;99;"Check-Out";2017-04-01
"City Hotel";"0";31;"November";"49";2;0;3;0;0;"BB";"FRA";0;154;"Check-Out";2016-11-27
"City Hotel";"0";160;"May";"22";0;2;2;0;0;"BB";"PRT";0;128.35;"Check-Out";2016-05-27
"City Hotel";"1";168;"January";"4";0;4;2;0;0;"BB";"ROU";0;85;"Canceled";2017-01-24
"Resort Hotel";"0";163;"September";"36";2;5;2;0;0;"BB";"ESP";0;91.46;"Check-Out";2015-09-03
"City Hotel";"1";130;"April";"16";0;4;2;0;0;"BB";"PRT";10;100;"Canceled";2016-04-13
"Resort Hotel";"0";12;"June";"24";2;4;3;0;0;"HB";"ESP";0;202.67;"Check-Out";2016-06-05
"City Hotel";"1";50;"June";"27";0;3;3;0;0;"BB";"BRA";0;150.3;"Canceled";2016-06-29
"Resort Hotel";"0";3;"November";"47";0;1;1;0;0;"BB";"PRT";0;30;"Check-Out";2016-11-19
"City Hotel";"1";437;"May";"19";1;2;2;0;0;"BB";"PRT";0;60;"Canceled";2016-05-02
"City Hotel";"1";272;"July";"29";0;2;2;0;0;"BB";"PRT";0;62;"Canceled";2015-07-16
"City Hotel";"0";6;"September";"39";1;3;1;0;0;"BB";"HUN";0;114;"Check-Out";2015-09-21
"Resort Hotel";"0";138;"January";"1";2;1;2;0;0;"HB";"ITA";0;100.33;"Check-Out";2016-01-02
"City Hotel";"1";68;"September";"38";0;1;2;0;0;"SC";"FRA";0;125.1;"Canceled";2016-09-16
"Resort Hotel";"0";152;"July";"29";2;1;2;2;0;"BB";"LUX";0;214;"Check-Out";2017-07-16
"City Hotel";"1";186;"May";"22";0;2;2;0;0;"BB";"PRT";0;130;"Canceled";2017-05-30
"City Hotel";"1";101;"June";"27";1;5;1;0;0;"BB";"PRT";0;140;"Canceled";2016-06-27
"Resort Hotel";"0";5;"April";"15";0;2;1;0;0;"BB";"PRT";0;39;"Check-Out";2016-04-05
"City Hotel";"1";359;"October";"42";2;0;2;0;0;"BB";"PRT";0;60;"Canceled";2015-10-11
"City Hotel";"0";4;"March";"11";0;2;2;0;0;"BB";"PRT";0;95;"Check-Out";2017-03-17
"City Hotel";"0";95;"April";"17";0;2;2;0;0;"HB";"AUT";0;98;"Check-Out";2016-04-20
"City Hotel";"0";43;"January";"1";2;2;2;0;0;"BB";"GBR";0;68.07;"Check-Out";2017-01-07
"Resort Hotel";"0";0;"February";"7";0;5;2;0;0;"BB";"DEU";0;50;"Check-Out";2016-02-09
"Resort Hotel";"0";11;"July";"27";0;2;2;0;0;"BB";"GBR";0;92;"Check-Out";2017-07-07
"City Hotel";"1";101;"April";"15";1;2;1;0;0;"BB";"PRT";41;70;"Canceled";2016-04-04
"City Hotel";"0";4;"February";"7";1;0;1;0;0;"BB";"FRA";0;75;"Check-Out";2017-02-13
"City Hotel";"0";60;"May";"20";2;1;2;0;0;"BB";"FRA";0;171;"Check-Out";2017-05-20
"Resort Hotel";"1";217;"July";"29";0;2;2;0;0;"HB";"PRT";0;150;"Canceled";2016-07-14
"City Hotel";"0";0;"August";"34";2;5;2;0;0;"BB";"POL";0;96;"Check-Out";2015-08-20
"City Hotel";"0";71;"May";"22";1;2;2;0;0;"SC";"FRA";0;144;"Check-Out";2017-05-29
"Resort Hotel";"0";4;"February";"6";0;1;2;0;0;"BB";"NLD";0;58;"Check-Out";2016-02-06
"Resort Hotel";"0";21;"May";"22";2;1;2;0;0;"BB";"PRT";0;142;"Check-Out";2017-05-28
"Resort Hotel";"1";96;"April";"17";2;5;2;0;0;"HB";"PRT";0;50.85;"Canceled";2016-04-19
"Resort Hotel";"0";0;"May";"18";0;1;1;0;0;"BB";"ESP";0;62;"Check-Out";2017-05-02
"City Hotel";"1";134;"August";"35";0;4;3;0;0;"BB";"ITA";0;133.2;"Canceled";2016-08-23
"City Hotel";"0";13;"May";"21";0;2;3;0;0;"BB";"MEX";0;209;"Check-Out";2017-05-23
"City Hotel";"1";103;"April";"17";0;2;1;0;0;"BB";"PRT";0;115;"Canceled";2016-04-19
"City Hotel";"1";18;"December";"53";0;2;2;2;0;"BB";"PRT";0;200;"Canceled";2016-12-30
"City Hotel";"1";97;"May";"18";0;2;3;0;0;"BB";"ITA";0;171;"Canceled";2017-05-05
"City Hotel";"1";109;"February";"9";2;1;2;0;0;"BB";"PRT";44;75;"Canceled";2016-02-21
"City Hotel";"0";55;"June";"23";1;3;2;0;0;"SC";"DEU";0;140;"Check-Out";2017-06-05
"City Hotel";"0";7;"September";"40";1;1;1;0;0;"BB";"USA";0;170;"Check-Out";2015-09-28
"City Hotel";"0";159;"October";"43";2;2;2;0;0;"BB";"GBR";0;108;"Check-Out";2016-10-16
"City Hotel";"0";15;"June";"25";0;1;1;0;0;"SC";"ITA";0;128;"Check-Out";2017-06-21
"City Hotel";"0";138;"July";"29";0;1;2;0;0;"SC";"DEU";0;108;"Check-Out";2017-07-21
"City Hotel";"0";282;"October";"41";2;1;2;0;0;"BB";"SWE";0;76.67;"Check-Out";2015-10-10
"Resort Hotel";"1";29;"August";"34";2;4;2;2;0;"HB";"PRT";0;342.17;"Canceled";2017-08-26
"City Hotel";"0";7;"January";"5";1;0;2;0;0;"SC";"FRA";0;88;"Check-Out";2017-01-29
"City Hotel";"0";5;"August";"34";0;1;2;0;0;"BB";"ESP";0;130;"Check-Out";2016-08-20
"Resort Hotel";"0";1;"January";"4";0;1;1;0;0;"BB";"PRT";0;43;"Check-Out";2017-01-24
"City Hotel";"1";19;"August";"31";0;1;2;0;0;"BB";"PRT";0;140.8;"Canceled";2017-08-01
"Resort Hotel";"1";40;"June";"25";2;5;2;1;0;"BB";"GBR";0;194;"Canceled";2016-06-12
"Resort Hotel";"0";266;"September";"39";2;4;1;0;0;"BB";"";0;35.67;"Check-Out";2015-09-24
"City Hotel";"1";108;"March";"12";0;2;2;0;0;"BB";"PRT";0;80;"Canceled";2016-03-18
"City Hotel";"1";464;"October";"44";0;2;2;0;0;"BB";"PRT";0;65;"Canceled";2016-10-28
